Order,AnimalName,CorrectedAnimalName,Corrected,DTIResolution,SNR,BrainOrientation,GM,WM,log10_GM_,log10_WM_,log10_BrV_,BrVol,TotFib,CC,AC,HC,TotalCommisures,ComRatio,file_prefix
Afrotheria,Hyrax1 (Nshafan),Hyrax1 (Nshafan),0,0.4,27.8986035091396,RL,11.31,3.053,4.05346260492546,3.48472680429866,4.15724516047519,14.363,102982,9240,695,3187,13122,12.7420325882193,Hyrax1_FF3_allfibers_kperm
Afrotheria,Hyrax2,Hyrax2,0,0.32,18.2044277191162,RL,10.85,2.85,4.03542973818455,3.45484486000851,4.13672056715641,13.7,157647,16197,328,1141,17666,11.206048957481,Hyrax2_FF3_allfibers_kperm
Artiodactyla,BactrianDeer2,BactrianDeer2,0,1.19,21.835012321368,LR,181.17,51.02,5.25808628432798,4.70774045427377,5.36584351153374,232.19,45468,6731,1,214,6946,15.2766781032814,BactrianDeer2_FF3_allfibers_kperm
Artiodactyla,BottleNoseDolphin,BottleNoseDolphin,0,1.89,53.9994296673497,LR,1107.8,489.51,6.04446136081067,5.6897615682545,6.20338921058067,1597.31,127701,7692,328,3321,11341,8.88090148080281,BottleNoseDolphin_FF3_allfibers_kperm
Artiodactyla,CapraNubiana1,CapraNubiana1,0,0.74,46.2035328938574,RL,78.35,15.89,4.89403900080461,4.20112389720738,4.97423527744303,94.24,58372,6129,51,467,6647,11.3873089837593,CapraNubiana1_FF3_allfibers_kperm
Artiodactyla,CapraNubiana2,CapraNubiana2,0,0.813,86.0527408586658,RL,74.87,22.04,4.87430783312804,4.34321159017975,4.98636859357027,96.91,49725,3950,1,1667,5618,11.298139768728,CapraNubiana2_FF3_allfibers_kperm
Artiodactyla,CapraNubiana3,CapraNubiana3,0,0.773,58.6633940506496,RL,71.16,17.37,4.85223593941189,4.2397998184471,4.94709046421962,88.53,58090,3617,70,668,4355,7.49698743329317,CapraNubiana3_FF3_allfibers_kperm
Artiodactyla,CapraNubiana4 (Yael),CapraNubiana4 (Yael),0,0.8,87.2532615934207,RL,93.35,21.15,4.9701143222851,4.32531037171106,5.05880548667591,114.5,67474,6858,66,583,7507,11.1257669620891,CapraNubiana4_FF3_allfibers_kperm
Artiodactyla,Chital1,Chital1,0,0.97,192.726641911327,RL,125.71,13.67,5.09936982638984,4.13576851456782,5.14420046018388,139.38,45905,2997,311,109,3417,7.44363359111208,Chital1_FF3_allfibers_kperm
Artiodactyla,Chital2 (ChitalF),Chital2 (ChitalF),0,0.933,198.692108247721,RL,103.46,14.99,5.01477247407306,4.17580163284828,5.07353506505878,118.45,32497,2652,161,127,2940,9.04698895282641,Chital2_FF3_allfibers_kperm
Artiodactyla,Deer1,Deer1,0,0.66,46.1669166621711,RL,60.54,12.6,4.78204241662055,4.10037054511756,4.86415495600203,73.14,221848,29438,678,709,30825,13.8946485882226,Deer1_FF3_allfibers_kperm
Artiodactyla,Deer2,Deer2,0,0.66,51.8745235852345,RL,59.27,9.39,4.77283492723902,3.97266559226611,4.83670379908973,68.66,56547,3264,47,1297,4608,8.1489734203406,Deer2_FF3_allfibers_kperm
Artiodactyla,DikDik,DikDik,0,0.5,30.9704042350258,RL,28.64,3.93,4.45697301363582,3.59439255037543,4.51281775856487,32.57,75867,6027,2535,187,8749,11.5320231457683,DikDik_FF3_allfibers_kperm
Artiodactyla,FallowDeer1,FallowDeer1,0,1,195.264832094862,RL,149.66,19.97,5.17510574088702,4.3003780648707,5.22950266208507,169.63,49224,5535,357,99,5991,12.1708922476841,FallowDeer1_FF3_allfibers_kperm
Artiodactyla,FallowDeer2,FallowDeer2,0,1,122.942908991131,RL,142.9,33.54,5.15503222879097,4.52556305827007,5.24659704910637,176.44,53324,2858,68,120,3046,5.71224964368765,FallowDeer2_FF3_allfibers_kperm
Artiodactyla,FallowDeer3,FallowDeer3,0,1,85.6659536045708,RL,146.35,39.07,5.16539272676981,4.59184341122479,5.26815657674039,185.42,56497,4764,188,206,5158,9.12968830203374,FallowDeer3_FF3_allfibers_kperm
Artiodactyla,Giraffe1,Giraffe1,0,1.496,52.2946468510044,LR,466.61,127.88,5.66895404199799,5.10680262759965,5.77414455368752,594.49,62887,8498,1,284,8783,13.9663205431965,Giraffe1_FF3_allfibers_kperm
Artiodactyla,Giraffe2,Giraffe2,0,1.5867,27.3415463576774,LR,420.91,189.9,5.62418924385976,5.27852496473702,5.78590613858292,610.81,44764,5344,1,150,5495,12.2754892324189,Giraffe2_FF3_allfibers_kperm
Artiodactyla,Giraffe3,Giraffe3,0,1.7868,38.7208506953183,LR,402.96,199.7,5.60526193784965,5.3003780648707,5.78007236725061,602.66,41834,4089,1,92,4182,9.99665343978582,Giraffe3_FF3_allfibers_kperm
Artiodactyla,Goat1,Goat1,0,0.75,87.4189573230829,RL,75.12,6.92,4.87575557925806,3.84010609445676,4.91402565169633,82.04,50256,4007,45,861,4913,9.77594715058899,Goat1_FF3_allfibers_kperm
Artiodactyla,Goat2,Goat2,0,0.8,91.6471987399882,RL,75.99,15.4,4.88075644451021,4.18752072083646,4.96089867732666,91.39,41614,3847,75,966,4888,11.7460470034123,Goat2_FF3_allfibers_kperm
Artiodactyla,Goat3,Goat3,0,0.8,81.0821530506689,RL,79.09,13.85,4.89812157554111,4.14144977340047,4.96820266814285,92.94,42175,2563,77,209,2849,6.7551867219917,Goat3_FF3_allfibers_kperm
Artiodactyla,IndHogDeer,IndHogDeer,0,0.386,17.4934699261896,RL,8.277,2.17,3.91787295519885,3.33645973384853,4.01899159470561,10.447,81289,2901,803,2776,6480,7.97155826741626,IndHogDeer_FF3_allfibers_kperm
Artiodactyla,Lama1,Lama1,0,0.82,35.4925429644049,RL,153.52,55.1578,5.18616496172742,4.7416069357686,5.31947624949515,208.6778,248379,18021,520,2719,21260,8.55949979668169,Lama1_FF3_allfibers_kperm
Artiodactyla,Lama2,Lama2,0,0.8,65.2125171063108,RL,163.69,41.86,5.21402214870043,4.62179922400267,5.31291748111637,205.55,273079,26456,300,7576,34332,12.5721860706975,Lama2_FF3_allfibers_kperm
Artiodactyla,Oryx1,Oryx1,0,0.85,58.4840365453583,RL,134.487,14.71,5.12868030589137,4.16761267272753,5.17376009058608,149.197,66120,5301,46,360,5707,8.63127646702964,Oryx1_FF3_allfibers_kperm
Artiodactyla,Oryx2 (Former Oryx3),Oryx2 (Former Oryx3),0,0.67,42.2020005963245,RL,58.69,7.222,4.76856410951357,3.85865748409081,4.81896448984964,65.912,52532,3991,1,469,4461,8.49196680118785,Oryx2_FF3_allfibers_kperm
Artiodactyla,Oryx3 (Reem3),Oryx3 (Reem3),0,0.975,130.856071835789,RL,162.023,12.38,5.20957666925912,4.0927206446841,5.24155395119425,174.403,65236,8234,206,338,8778,13.4557606229689,Oryx3_FF3_allfibers_kperm
Artiodactyla,Pecari1,Pecari1,0,0.74,58.5424810658912,RL,65.91,15.35,4.81895131164017,4.18610837981321,4.90987681799039,81.26,45150,1640,265,340,2245,4.97231450719823,Pecari1_FF3_allfibers_kperm
Artiodactyla,Pecari2,Pecari2,0,0.77,63.1806706219511,RL,65.8,17.05,4.81822589361396,4.23172438332852,4.91829251275536,82.85,56785,6132,327,618,7077,12.4627982741921,Pecari2_FF3_allfibers_kperm
Artiodactyla,Porcine1,Porcine1,0,0.61,36.7858555932716,RL,60.72,10.25,4.78333176288742,4.01072386539177,4.85107480522889,70.97,136156,16109,589,1406,18104,13.296512823526,Porcine1_FF3_allfibers_kperm
Artiodactyla,Porcine2 (4),Porcine2 (4),0,0.61,61.0178182126239,RL,66.22,7.07,4.82098917641605,3.8494194137969,4.8650447216931,73.29,50309,5323,97,417,5837,11.6022977995985,Porcine2_FF3_allfibers_kperm
Artiodactyla,Sheep,Sheep,0,0.75,31.057653633889,RL,86.32,22.06,4.93611143167485,4.34360550810417,5.03494914667637,108.38,78458,5116,51,191,5358,6.82913150985241,Sheep_FF3_allfibers_kperm
Artiodactyla,StrippedDolphin1,StrippedDolphin1,0,1.9,154.815948316733,LR,521.5,346.99,5.71725431276255,5.54031695891941,5.93876482224216,868.49,65543,6501,1,1800,8302,12.6664937521932,StrippedDolphin1_FF3_allfibers_kperm
Artiodactyla,StrippedDolphin2,StrippedDolphin2,0,1.7,35.5618394257266,LR,541.96,168.25,5.73396723410235,5.22595507289601,5.85138678302367,710.21,62482,7689,1,4223,11913,19.0662910918344,StrippedDolphin2_FF3_allfibers_kperm
Artiodactyla,ThomsonGazelle,ThomsonGazelle,0,0.75,108.431854029519,RL,56.003,11.79,4.74821129215885,4.07151380509509,4.8311848528889,67.793,47981,2267,62,211,2540,5.29376211417019,ThomsonGazelle_FF3_allfibers_kperm
Artiodactyla,WildBoar1,WildBoar1,0,0.85,84.1625906444729,RL,91.63,16.62,4.96203768656501,4.22063101944809,5.0344279050254,108.25,52849,6113,160,968,7241,13.7012999299892,Wildboar1_FF3_allfibers_kperm
Artiodactyla,WildBoar2,WildBoar2,0,0.9,116.724809187655,LR,112.05,23.34,5.04941186087108,4.36810085170935,5.13158658823981,135.39,104783,8031,449,2753,11233,10.7202504223013,WildBoar2_FF3_allfibers_kperm
Carnivora,AsianOtter,AsianOtter,0,0.57,29.2440424370365,RL,27.55,5.067,4.4401216031878,3.70475090429067,4.51344401362145,32.617,52543,6873,231,938,8042,15.3055592562282,AsianOtter_FF3_allfibers_kperm
Carnivora,Blanford Fox,Blanford Fox,0,0.45,28.7672927074063,RL,14.12,2.161,4.14983469671579,3.33465476688324,4.21168107629914,16.281,58214,4541,245,1791,6577,11.2979695605868,BlanfordFox_FF3_allfibers_kperm
Carnivora,Caracal,Caracal,0,0.6,40.6943793587384,RL,41.45,20.64,4.61752453488629,4.31470969295517,4.79302165984598,62.09,106215,9579,387,993,10959,10.3177517299816,Caracal_FF3_allfibers_kperm
Carnivora,Cat1,Cat1,0,0.5,28.3495981414019,RL,19.18,3.73,4.28284860283465,3.57170883180869,4.3600250891894,22.91,48162,3659,1025,205,4889,10.1511565134338,Cat1_FF3_allfibers_kperm
Carnivora,Cat2 (Formet Cat5.po1),Cat2 (Formet Cat5.po1),0,0.5,38.7952072355943,RL,17.33,2.25,4.23879856271392,3.35218251811136,4.29181268746712,19.58,51357,5035,251,1139,6425,12.5104659540082,Cat2_FF3_allfibers_kperm
Carnivora,Cat3,Cat3,0,0.54,46.0227737562556,RL,17.16,2.848,4.23451728351269,3.45453998496482,4.30120367872245,20.008,43802,4905,298,822,6025,13.7550796767271,Cat3_FF3_allfibers_kperm
Carnivora,Cat4,Cat4,0,0.5,34.3575347862882,RL,16.37,3.49,4.21404867941194,3.54282542695918,4.29797924415936,19.86,52359,6510,171,1311,7992,15.2638514868504,Cat4_FF3_allfibers_kperm
Carnivora,Cat5,Cat5,0,0.48,27.1719653907602,RL,17.5,3.4229,4.24303804868629,3.5343942114129,4.32062187936879,20.9229,86800,9027,604,1997,11628,13.3963133640553,Cat5_FF3_allfibers_kperm
Carnivora,Cat6Coon,cat6,1,0.54,39.1595278581812,RL,22.89,4.94,4.35964579267454,3.69372694892365,4.44451320633404,27.83,64729,7065,282,702,8049,12.4349209782323,Cat6_FF3_allfibers_kperm
Carnivora,CommonFox,CommonFox,0,0.5,54.3059852635531,RL,26.64,7.83,4.42553422049826,3.89376176205794,4.53744128340795,34.47,111408,9564,942,1406,11912,10.6922303604768,CommonFox_FF3_allfibers_kperm
Carnivora,Dog1 (Mixed),Dog1 (Mixed),0,0.75,78.5361296025188,RL,52.3184,15.4824,4.71865445393631,4.18983828360566,4.8312348182555,67.8008,47360,4367,42,654,5063,10.6904560810811,Dog1_FF3_allfibers_kperm
Carnivora,Dog2 Boxer,dog2,1,0.74,33.4003771738435,RL,82.82,18.5,4.91813522616636,4.26717172840301,5.00569518111851,101.32,78955,8599,144,134,8877,11.2431131657273,Dog2_FF3_allfibers_kperm
